t,x,y,z
0.316,3.079,-0.951057,5.74296
0.317,3.07925,-0.809017,5.7492
0.318,3.0795,-0.587785,5.75544
0.319,3.07975,-0.309017,5.76168
0.32,3.08,6.71354e-14,5.76794
0.321,3.08025,0.309017,5.77419
0.322,3.0805,0.587785,5.78046
0.323,3.08075,0.809017,5.78673
0.324,3.081,0.951057,5.793
0.325,3.08125,1,5.79928
0.326,3.0815,0.951057,5.80557
0.327,3.08175,0.809017,5.81186
0.328,3.082,0.587785,5.81816
0.329,3.08225,0.309017,5.82446
0.33,3.0825,-7.05657e-14,5.83077
0.331,3.08275,-0.309017,5.83709
0.332,3.083,-0.587785,5.84341
0.333,3.08325,-0.809017,5.84974
0.334,3.0835,-0.951057,5.85608
0.335,3.08375,-1,5.86242
0.336,3.084,-0.951057,5.86876
0.337,3.08425,-0.809017,5.87511
0.338,3.0845,-0.587785,5.88147
0.339,3.08475,-0.309017,5.88784
0.34,3.085,7.39959e-14,5.89421
0.341,3.08525,0.309017,5.90058
0.342,3.0855,0.587785,5.90697
0.343,3.08575,0.809017,5.91336
0.344,3.086,0.951057,5.91975
0.345,3.08625,1,5.92615
0.346,3.0865,0.951057,5.93256
0.347,3.08675,0.809017,5.93897
0.348,3.087,0.587785,5.94539
0.349,3.08725,0.309017,5.95182
0.35,3.0875,-7.74262e-14,5.95825
0.351,3.08775,-0.309017,5.96469
0.352,3.088,-0.587785,5.97113
0.353,3.08825,-0.809017,5.97758
0.354,3.0885,-0.951057,5.98404
0.355,3.08875,-1,5.9905
0.356,3.089,-0.951057,5.99697
0.357,3.08925,-0.809017,6.00345
0.358,3.0895,-0.587785,6.00993
0.359,3.08975,-0.309017,6.01642
0.36,3.09,8.08564e-14,6.02291
0.361,3.09025,0.309017,6.02941
0.362,3.0905,0.587785,6.03592
0.363,3.09075,0.809017,6.04243
0.364,3.091,0.951057,6.04895
0.365,3.09125,1,6.05548
0.366,3.0915,0.951057,6.06201
0.367,3.09175,0.809017,6.06855
0.368,3.092,0.587785,6.0751
0.369,3.09225,0.309017,6.08165
0.37,3.0925,-8.42866e-14,6.08821
0.371,3.09275,-0.309017,6.09477
0.372,3.093,-0.587785,6.10134
0.373,3.09325,-0.809017,6.10792
0.374,3.0935,-0.951057,6.1145
0.375,3.09375,-1,6.12109
0.376,3.094,-0.951057,6.12769
0.377,3.09425,-0.809017,6.13429
0.378,3.0945,-0.587785,6.1409
0.379,3.09475,-0.309017,6.14752
0.38,3.095,8.77169e-14,6.15414
0.381,3.09525,0.309017,6.16077
0.382,3.0955,0.587785,6.16741
0.383,3.09575,0.809017,6.17405
0.384,3.096,0.951057,6.1807
0.385,3.09625,1,6.18736
0.386,3.0965,0.951057,6.19402
0.387,3.09675,0.809017,6.20069
0.388,3.097,0.587785,6.20737
0.389,3.09725,0.309017,6.21405
0.39,3.0975,-9.11471e-14,6.22074
0.391,3.09775,-0.309017,6.22743
0.392,3.098,-0.587785,6.23414
0.393,3.09825,-0.809017,6.24085
0.394,3.0985,-0.951057,6.24756
0.395,3.09875,-1,6.25428
0.396,3.099,-0.951057,6.26101
0.397,3.09925,-0.809017,6.26775
0.398,3.0995,-0.587785,6.27449
0.399,3.09975,-0.309017,6.28124
0.4,3.1,9.45774e-14,6.288
0.401,3.10025,0.309017,6.29476
0.402,3.1005,0.587785,6.30153
0.403,3.10075,0.809017,6.30831
0.404,3.101,0.951057,6.31509
0.405,3.10125,1,6.32189
0.406,3.1015,0.951057,6.32868
0.407,3.10175,0.809017,6.33549
0.408,3.102,0.587785,6.3423
0.409,3.10225,0.309017,6.34912
0.41,3.1025,-9.80076e-14,6.35594
0.411,3.10275,-0.309017,6.36277
0.412,3.103,-0.587785,6.36961
0.413,3.10325,-0.809017,6.37646
0.414,3.1035,-0.951057,6.38331
0.415,3.10375,-1,6.39017
0.416,3.104,-0.951057,6.39704
0.417,3.10425,-0.809017,6.40391
0.418,3.1045,-0.587785,6.41079
0.419,3.10475,-0.309017,6.41768
0.42,3.105,8.7227e-14,6.42458
0.421,3.10525,0.309017,6.43148
0.422,3.1055,0.587785,6.43839
0.423,3.10575,0.809017,6.4453
0.424,3.106,0.951057,6.45223
0.425,3.10625,1,6.45916
0.426,3.1065,0.951057,6.46609
0.427,3.10675,0.809017,6.47304
0.428,3.107,0.587785,6.47999
0.429,3.10725,0.309017,6.48695
0.43,3.1075,-1.04868e-13,6.49391
0.431,3.10775,-0.309017,6.50089
0.432,3.108,-0.587785,6.50787
0.433,3.10825,-0.809017,6.51485
0.434,3.1085,-0.951057,6.52185
0.435,3.10875,-1,6.52885
0.436,3.109,-0.951057,6.53586
0.437,3.10925,-0.809017,6.54288
0.438,3.1095,-0.587785,6.5499
0.439,3.10975,-0.309017,6.55693
0.44,3.11,9.40875e-14,6.56397
0.441,3.11025,0.309017,6.57101
0.442,3.1105,0.587785,6.57807
0.443,3.11075,0.809017,6.58513
0.444,3.111,0.951057,6.59219
0.445,3.11125,1,6.59927
0.446,3.1115,0.951057,6.60635
0.447,3.11175,0.809017,6.61344
0.448,3.112,0.587785,6.62053
0.449,3.11225,0.309017,6.62764
0.45,3.1125,-1.11729e-13,6.63475
0.451,3.11275,-0.309017,6.64187
0.452,3.113,-0.587785,6.64899
0.453,3.11325,-0.809017,6.65613
0.454,3.1135,-0.951057,6.66327
0.455,3.11375,-1,6.67042
0.456,3.114,-0.951057,6.67757
0.457,3.11425,-0.809017,6.68474
0.458,3.1145,-0.587785,6.69191
0.459,3.11475,-0.309017,6.69909
0.46,3.115,1.00948e-13,6.70627
0.461,3.11525,0.309017,6.71347
0.462,3.1155,0.587785,6.72067
0.463,3.11575,0.809017,6.72787
0.464,3.116,0.951057,6.73509
0.465,3.11625,1,6.74231
0.466,3.1165,0.951057,6.74955
0.467,3.11675,0.809017,6.75678
0.468,3.117,0.587785,6.76403
0.469,3.11725,0.309017,6.77128
0.47,3.1175,-1.18589e-13,6.77855
0.471,3.11775,-0.309017,6.78582
0.472,3.118,-0.587785,6.79309
0.473,3.11825,-0.809017,6.80038
0.474,3.1185,-0.951057,6.80767
0.475,3.11875,-1,6.81497
0.476,3.119,-0.951057,6.82228
